Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Moving_Avg_20,Moving_Avg_50,Volume_MA_20
2023-11-17 00:00:00+05:30,397.49,402.37,395.4,398.44,2342464,0.0,0.0,0.71,387.56,398.83,4574402.35
2023-11-20 00:00:00+05:30,399.48,404.67,393.7,400.23,1934702,0.0,0.0,0.45,387.55,399.29,4459807.45
2023-11-21 00:00:00+05:30,400.68,403.87,396.74,399.09,2318671,0.0,0.0,-0.29,388.17,399.65,4469588.4
2023-11-22 00:00:00+05:30,401.13,418.02,400.38,416.78,9402036,0.0,0.0,4.43,390.26,400.36,4251558.15
2023-11-23 00:00:00+05:30,418.87,425.6,409.85,412.09,5124373,0.0,0.0,-1.12,392.61,400.74,3884458.9
2023-11-24 00:00:00+05:30,414.63,427.59,414.53,419.57,6556226,0.0,0.0,1.81,394.11,400.53,3636542.6
2023-11-28 00:00:00+05:30,420.61,421.56,405.51,408.11,2467926,0.0,0.0,-2.73,394.89,400.78,3462800.9
2023-11-29 00:00:00+05:30,410.65,420.76,409.1,413.49,3098201,0.0,0.0,1.32,395.84,401.16,3475607.4
2023-11-30 00:00:00+05:30,414.98,415.18,405.66,407.01,3279190,0.0,0.0,-1.57,396.96,401.18,3522249.9
2023-12-01 00:00:00+05:30,409.65,426.89,409.4,423.21,7105287,0.0,0.0,3.98,399.33,401.69,3748712.55
2023-12-04 00:00:00+05:30,432.57,433.37,421.31,423.11,3461202,0.0,0.0,-0.02,400.85,402.3,3765334.1
2023-12-05 00:00:00+05:30,423.11,424.05,411.64,413.84,4645869,0.0,0.0,-2.19,401.92,402.46,3861425.55
2023-12-06 00:00:00+05:30,418.62,441.5,415.13,437.56,8182520,0.0,0.0,5.73,404.55,403.36,4182066.45
2023-12-07 00:00:00+05:30,438.51,459.49,430.08,456.79,9610161,0.0,0.0,4.4,408.15,404.08,4562863.65
2023-12-08 00:00:00+05:30,458.49,475.43,445.18,450.32,8566641,0.0,0.0,-1.42,411.49,404.69,4897252.15
2023-12-11 00:00:00+05:30,452.51,464.02,448.92,454.25,3173371,0.0,0.0,0.87,415.03,405.01,4990770.1
2023-12-12 00:00:00+05:30,454.4,456.45,440.55,443.49,1773674,0.0,0.0,-2.37,418.13,405.25,4984947.1
2023-12-13 00:00:00+05:30,445.23,456.5,442.64,454.0,2500544,0.0,0.0,2.37,421.28,406.02,4933851.5
